"Enabled","Włączone"
"Title","Tytuł"
"Minimal order value","Minimalna wartość zamówienia"
"Restrict payment method to specific countries","Ogranicz metodę płatności do wybranych krajów"
"Payment method allowed in countries","Metoda płatności dostępna w krajach"
"Payment settings","Ustawienia płatności"
"Production API key","Klucz API środowiska produkcyjnego"
"Payment text","Tekst płatności"
"Minimal amount in cart","Minimalna kwota w koszyku"
"Use order reference as external ID","Użyj numeru zamówienia jako zewnętrznego ID"
"When enabled, the order reference number is sent to Comfino instead of the order increment ID.","Gdy włączone, numer referencyjny zamówienia jest wysyłany do Comfino zamiast numerycznego ID zamówienia. Dotyczy tylko nowych zamówień."
"Sale settings","Ustawienia sprzedaży"
"Rules for the availability of financial products based on product categories.","Reguły dostępności produktów finansowych na podstawie kategorii produktów."
"Rules for the availability of financial products","Reguły dostępności produktów finansowych"
"Widget settings","Ustawienia widgetu"
"Basic settings","Ustawienia podstawowe"
"Widget is active?","Widget włączony?"
"Widget key","Klucz widgetu"
"Widget type","Typ widgetu"
"Offer types","Typy ofert"
"Show logos of financial services providers","Pokaż loga dostawców usług finansowych"
"Advanced settings","Ustawienia zaawansowane"
"Widget price element selector","Selektor elementu ceny widgetu"
"Widget anchor element selector","Selektor elementu zakotwiczenia widgetu"
"Price change detection - container selector","Wykrywanie zmian ceny - selektor kontenera"
"Selector of observed parent element which contains price element.","Selektor obserwowanego elementu nadrzędnego, który zawiera element ceny."
"Price change detection - container hierarchy level","Wykrywanie zmian ceny - poziom hierarchii kontenera"
"Hierarchy level of observed parent element relative to the price element.","Poziom hierarchii obserwowanego elementu nadrzędnego względem elementu ceny."
"Embedding method","Metoda osadzania"
"Custom banner CSS style URL","Niestandardowy styl CSS banera"
"URL to a custom CSS file overriding the banner widget styles.","Adres URL niestandardowego stylu banera. Dozwolone są tylko linki z domeny sklepu."
"Custom calculator CSS style URL","Niestandardowy styl CSS kalkulatora"
"URL to a custom CSS file overriding the calculator widget styles.","Adres URL niestandardowego stylu kalkulatora. Dozwolone są tylko linki z domeny sklepu."
"Widget initialization code","Kod inicjalizacji widgetu"
"Developer settings","Ustawienia deweloperskie"
"Use test environment","Użyj środowiska testowego"
"Test environment API key","Klucz API środowiska testowego"
"Debug mode","Tryb debugowania"
"When enabled, all API requests and responses are written to the debug log.","Gdy włączone, wszystkie żądania i odpowiedzi API są zapisywane do logu debugowania."
"Service mode","Tryb serwisowy"
"When enabled, the Comfino payment method is visible only for sessions with an active COMFINO_SERVICE_SESSION cookie.","Gdy włączone, metoda płatności Comfino jest widoczna tylko dla sesji z aktywnym ciasteczkiem COMFINO_SERVICE_SESSION."
"Use development environment variables","Użyj zmiennych środowiska deweloperskiego"
"Use of development environment variables with custom hosts which overwrite hosts stored in the plugin.","Wykorzystanie zmiennych środowiska deweloperskiego z niestandardowymi hostami, które nadpisują hosty przechowywane we wtyczce."
"Plugin diagnostics","Diagnostyka wtyczki"
"Field ""%1"" can not be empty.","Pole ""%1"" nie może być puste."
"Field ""%1"" has wrong numeric format.","Pole ""%1"" ma nieprawidłowy format numeryczny."
"API key %1 is not valid.","Klucz API %1 jest nieprawidłowy."
"Custom CSS URL ""%1"" is not valid.","Niestandardowy adres URL CSS ""%1"" jest nieprawidłowy."
"Custom CSS URL ""%1"" is not absolute.","Niestandardowy adres URL CSS ""%1"" nie jest absolutny."
"Settings updated.","Ustawienia zaktualizowane."
"Settings not updated.","Ustawienia nie zostały zaktualizowane."
"System information","Informacje o systemie"
"Comfino API host","Host API Comfino"
"Plugin build time","Czas kompilacji wtyczki"
"Shop domain","Domena sklepu"
"Plugin dev-debug mode","Tryb dev-debug wtyczki"
"active","aktywny"
"inactive","nieaktywny"
"Environment variables","Zmienne środowiskowe"
"Internal configuration","Konfiguracja wewnętrzna"
"Developer mode is active. You are using test environment.","Tryb deweloperski jest aktywny. Używasz środowiska testowego."
"Production mode is active.","Tryb produkcyjny jest aktywny."
"Production API key not present.","Brak produkcyjnego klucza API."
"Test API key not present.","Brak testowego klucza API."
"Invalid production API key.","Produkcyjny klucz API jest nieprawidłowy."
"Invalid test API key.","Testowy klucz API jest nieprawidłowy."
"Production account is active.","Konto produkcyjne jest aktywne."
"Production account is not active.","Konto produkcyjne jest nieaktywne."
"Test account is active.","Konto testowe jest aktywne."
"Test account is not active.","Konto testowe jest nieaktywne."
"Errors log","Log błędów"
"Clear errors log","Wyczyść log błędów"
"Debug log","Log trybu debugowania"
"Clear debug log","Wyczyść log debugowania"
